Starting Day,Average High (in F),Average Low (in F),Average Wind Speed (in mph),Rainfall Occur?,Cases
1,36,27,13.9,No,54
2,36,28,13.8,No,63
3,37,28,13.8,No,66
4,37,29,13.7,No,77
5,37,29,13.6,No,77
6,38,29,13.6,No,80
7,38,30,13.6,No,88
8,39,30,13.7,No,90
9,39,31,13.6,No,124
10,39,31,13.6,Yes,140
11,40,31,13.7,Yes,166
12,40,32,13.7,No,194
13,41,32,13.6,No,227
14,41,32,13.6,No,283
15,41,32,13.5,No,328
16,42,33,13.4,Yes,378
17,42,33,13.3,Yes,449
18,42,33,13.3,Yes,563
19,43,34,13.3,Yes,649
20,43,34,13.2,No,789
21,44,34,13.2,No,922
22,44,35,13.2,Yes,1074
23,45,35,13.2,No,1198
